Date,Percentage
2024-08-01 00:00:00+00:00,98.29
2024-08-02 00:00:00+00:00,98.06
2024-08-05 00:00:00+00:00,97.1
2024-08-06 00:00:00+00:00,96.76
2024-08-07 00:00:00+00:00,97.0
2024-08-08 00:00:00+00:00,96.98
2024-08-09 00:00:00+00:00,96.93
2024-08-12 00:00:00+00:00,97.16
2024-08-13 00:00:00+00:00,97.67
2024-08-14 00:00:00+00:00,97.76
2024-08-15 00:00:00+00:00,97.5
2024-08-16 00:00:00+00:00,97.06
2024-08-19 00:00:00+00:00,98.03
2024-08-20 00:00:00+00:00,98.26
2024-08-21 00:00:00+00:00,98.22
2024-08-22 00:00:00+00:00,98.17
2024-08-23 00:00:00+00:00,98.2
2024-08-26 00:00:00+00:00,98.39
2024-08-27 00:00:00+00:00,98.27
2024-08-28 00:00:00+00:00,98.69
2024-08-29 00:00:00+00:00,98.68
2024-08-30 00:00:00+00:00,98.66
2024-09-02 00:00:00+00:00,98.93
2024-09-03 00:00:00+00:00,98.56
2024-09-04 00:00:00+00:00,98.4
2024-09-05 00:00:00+00:00,98.65
2024-09-06 00:00:00+00:00,98.49
2024-09-09 00:00:00+00:00,98.64
2024-09-10 00:00:00+00:00,98.74
2024-09-11 00:00:00+00:00,98.77
2024-09-12 00:00:00+00:00,98.39
2024-09-13 00:00:00+00:00,98.27
2024-09-16 00:00:00+00:00,99.15
2024-09-17 00:00:00+00:00,99.2
2024-09-18 00:00:00+00:00,99.13
2024-09-19 00:00:00+00:00,99.23
2024-09-20 00:00:00+00:00,99.03
2024-09-23 00:00:00+00:00,98.92
2024-09-24 00:00:00+00:00,99.02
2024-09-25 00:00:00+00:00,99.17
2024-09-26 00:00:00+00:00,98.82
2024-09-27 00:00:00+00:00,99.04
2024-09-30 00:00:00+00:00,98.84
2024-10-01 00:00:00+00:00,98.8
2024-10-02 00:00:00+00:00,98.74
2024-10-03 00:00:00+00:00,98.54
2024-10-04 00:00:00+00:00,98.76
2024-10-07 00:00:00+00:00,99.2
2024-10-08 00:00:00+00:00,99.1
2024-10-09 00:00:00+00:00,99.23
2024-10-10 00:00:00+00:00,99.29
2024-10-11 00:00:00+00:00,99.05
2024-10-14 00:00:00+00:00,99.14
2024-10-15 00:00:00+00:00,99.26
2024-10-16 00:00:00+00:00,99.31
2024-10-17 00:00:00+00:00,99.3
2024-10-18 00:00:00+00:00,99.25
2024-10-21 00:00:00+00:00,99.21
2024-10-22 00:00:00+00:00,99.18
2024-10-23 00:00:00+00:00,99.27
2024-10-24 00:00:00+00:00,99.3
2024-10-25 00:00:00+00:00,99.29
2024-10-28 00:00:00+00:00,99.24
2024-10-29 00:00:00+00:00,99.07
2024-10-30 00:00:00+00:00,99.06
2024-10-31 00:00:00+00:00,99.19
